	observed_features
ERR1842970	1285
ERR1842971	1081
ERR1842972	1176
ERR1842973	1340
ERR1842974	1143
ERR1842975	1235
ERR1842976	1219
ERR1842977	1209
ERR1842978	1085
ERR1842979	966
ERR1842980	871
ERR1842981	919
ERR1842982	1221
ERR1842983	1096
ERR1842984	974
ERR1842985	1045
ERR1842986	1188
ERR1842987	1095
ERR1842988	1161
ERR1842989	878
ERR1842990	954
ERR1842991	1308
ERR1842992	1285
ERR1842993	1273
ERR1842994	1269
ERR1842995	1230
ERR1842996	1213
