	ERR1842970	ERR1842971	ERR1842972	ERR1842973	ERR1842974	ERR1842975	ERR1842976	ERR1842977	ERR1842978	ERR1842979	ERR1842980	ERR1842981	ERR1842982	ERR1842983	ERR1842984	ERR1842985	ERR1842986	ERR1842987	ERR1842988	ERR1842989	ERR1842990	ERR1842991	ERR1842992	ERR1842993	ERR1842994	ERR1842995	ERR1842996
ERR1842970	0	0.4925211110947343	0.4640837657606534	0.5244362119195507	0.5291765563296866	0.4509015054207391	0.5144931726372978	0.4593321208648578	0.5313565047490264	0.3856347840464585	0.5095865583600417	0.3752014338034122	0.4325900268142145	0.4872472115487604	0.4323793810184828	0.4729332344839792	0.5331668934598024	0.4038906920430174	0.4949737752236488	0.582598445761445	0.5447488348360774	0.5625454538043991	0.5570003008077382	0.5492315533124911	0.5708185789295392	0.5475185215690087	0.5621255467148302
ERR1842971	0.4925211110947343	0	0.3660460647534044	0.6552521321846442	0.6396863843010675	0.5431244348213635	0.5967757249028056	0.5016876598558324	0.5407232884054837	0.6087015623654589	0.2845015076827329	0.4530602112354183	0.5760608089517683	0.6170562527893861	0.5504755396009493	0.5677714584714119	0.6534346230974714	0.5691945383492889	0.6600428188907824	0.5415359682771159	0.5902128959518476	0.6747780499525191	0.6874638234880867	0.6787168625311347	0.6633417474202977	0.6648603041933764	0.6385840011889806
ERR1842972	0.4640837657606534	0.3660460647534044	0	0.6236102529064259	0.6267897155361508	0.5155230175180038	0.5956845908854299	0.4947194644132473	0.4995834176401964	0.5914590960642666	0.3415235416094533	0.372285130706499	0.5544528887637862	0.6063645735695677	0.5324409180325891	0.5590205407109035	0.6377515498152069	0.5312907847164773	0.6546241522449816	0.6228864394606797	0.5629728217186526	0.6629171029619043	0.6815263254657586	0.659740900317465	0.6600787231351929	0.6505231209182725	0.6320742321954304
ERR1842973	0.5244362119195507	0.6552521321846442	0.6236102529064259	0	0.5562980508117876	0.5428448095447843	0.4805544409221963	0.5144640720486099	0.6237128345403272	0.4691303817313974	0.6754991895342901	0.5686233795391055	0.4126124785797698	0.5264290471274351	0.5302487293571807	0.5393075124447717	0.4005961776412305	0.4840085394317972	0.549138104698062	0.577261152505353	0.5389404871570176	0.4536723077176371	0.4936090822265182	0.4988568303053043	0.491580682811647	0.4527898877997193	0.4968251415705769
ERR1842974	0.5291765563296866	0.6396863843010675	0.6267897155361508	0.5562980508117876	0	0.4674560359294334	0.5257400632899415	0.5550218068648443	0.4943288854667682	0.5806665852434282	0.6521330007355945	0.5730547172766938	0.4570590364269704	0.3458400741195296	0.5483695536525073	0.4689205323523127	0.5884821836985638	0.4944527719526594	0.6507379150704223	0.6718112757266689	0.6483702193601943	0.6336423994092217	0.5820756035270374	0.6146933845362363	0.6404377313394127	0.6154271056618226	0.6310962991854604
ERR1842975	0.4509015054207391	0.5431244348213635	0.5155230175180038	0.5428448095447843	0.4674560359294334	0	0.4852376028604802	0.4758724619537557	0.443766852727514	0.5753751056617021	0.5519875169743351	0.4488749411993797	0.445666111909901	0.5220963437944458	0.3319777716594735	0.3749550274028206	0.5418964900170387	0.4192599122425882	0.65440051748234	0.6250124984053749	0.6002199538956868	0.6241646345045119	0.6269612789529212	0.6180839517498978	0.6088215564999527	0.5985715181170136	0.5422918268823173
ERR1842976	0.5144931726372978	0.5967757249028056	0.5956845908854299	0.4805544409221963	0.5257400632899415	0.4852376028604802	0	0.4986964917478032	0.5582009430345579	0.5259628820267143	0.6140285406234176	0.542088640912649	0.4909678545845393	0.5111113032389224	0.5087535671838873	0.3622800632666976	0.4805702929577579	0.4873591115011253	0.5878807353810123	0.5891099367882792	0.5690660640336388	0.5349420333826749	0.5450288379721232	0.5443634175790877	0.4378021302042964	0.5070707322624559	0.5232334150657707
ERR1842977	0.4593321208648578	0.5016876598558324	0.4947194644132473	0.5144640720486099	0.5550218068648443	0.4758724619537557	0.4986964917478032	0	0.4728329693253679	0.5799763136703359	0.5202221935445289	0.4876555447588718	0.4274247955238329	0.520408885060069	0.4577315111703851	0.464879869525306	0.4489069066122132	0.4307741708331527	0.638175768271126	0.6480680340665176	0.6184801192123499	0.5874938977314403	0.6011641518105926	0.589836547349636	0.5754863440974514	0.5145458587274625	0.5873359251242796
ERR1842978	0.5313565047490264	0.5407232884054837	0.4995834176401964	0.6237128345403272	0.4943288854667682	0.443766852727514	0.5582009430345579	0.4728329693253679	0	0.6412418349763822	0.5276677718436729	0.5569486985490201	0.5194603431553136	0.5402150282039667	0.5249024596892991	0.4523130730990059	0.6336239569999196	0.4402964140747492	0.71478950530464	0.7280474888910121	0.7036666629581729	0.686489696282287	0.6814851011145641	0.6410658490793645	0.6801106500019599	0.6637217904264633	0.6735662937958207
ERR1842979	0.3856347840464585	0.6087015623654589	0.5914590960642666	0.4691303817313974	0.5806665852434282	0.5753751056617021	0.5259628820267143	0.5799763136703359	0.6412418349763822	0	0.6300973101416655	0.5070600654990088	0.5428962797803915	0.5409517151431887	0.5645631448848301	0.5796035282380283	0.4715468298601309	0.54371513214796	0.4717288118073742	0.5035956622975071	0.469397330786655	0.5171322514025243	0.5265664966745535	0.5041491534817425	0.5313979753691978	0.5030243002947247	0.5120685361529177
