	ERR1842997	ERR1842998	ERR1842999	ERR1843000	ERR1843001	ERR1843002	ERR1843003	ERR1843004	ERR1843005	ERR1843006	ERR1843007	ERR1843008	ERR1843009	ERR1843010	ERR1843011	ERR1843012	ERR1843013	ERR1843014	ERR1843015	ERR1843016	ERR1843017	ERR1843018	ERR1843019	ERR1843020	ERR1843021	ERR1843022	ERR1843023
ERR1842997	0.0	0.7685185185185185	0.7575757575757576	0.8108108108108109	0.7037037037037037	0.7448275862068966	0.7596899224806202	0.7520661157024794	0.7777777777777778	0.6666666666666666	0.7947019867549668	0.7723577235772358	0.7727272727272727	0.744	0.8159203980099502	0.7535211267605634	0.7622377622377622	0.7682926829268293	0.6792452830188679	0.7847222222222222	0.7952755905511811	0.8442622950819673	0.7777777777777778	0.8031496062992126	0.8580246913580247	0.8017241379310345	0.8135593220338984
ERR1842998	0.7685185185185185	0.0	0.7837837837837838	0.797752808988764	0.7362637362637363	0.7734375	0.7614678899082569	0.7884615384615384	0.7558139534883721	0.7634408602150538	0.680672268907563	0.7524752475247525	0.7777777777777778	0.7777777777777778	0.8296703296703297	0.784	0.8217054263565892	0.8278145695364238	0.8383838383838383	0.7394957983193278	0.8256880733944955	0.8514851485148515	0.8378378378378378	0.8660714285714286	0.8571428571428571	0.8367346938775511	0.8144329896907216
ERR1842999	0.7575757575757576	0.7837837837837838	0.0	0.8376623376623377	0.8012820512820513	0.7348066298342542	0.7751479289940828	0.8072289156626506	0.8451612903225807	0.7777777777777778	0.7486338797814208	0.6438356164383562	0.7866666666666666	0.813953488372093	0.7923728813559322	0.7891891891891892	0.8148148148148148	0.7912621359223301	0.8385093167701864	0.7597765363128491	0.7341772151898734	0.8674698795180723	0.864406779661017	0.8430232558139535	0.845771144278607	0.8518518518518519	0.845679012345679
ERR1843000	0.8108108108108109	0.797752808988764	0.8376623376623377	0.0	0.7741935483870968	0.7906976744186046	0.7592592592592593	0.75	0.7529411764705882	0.8247422680412371	0.8444444444444444	0.7864077669902912	0.6707317073170732	0.7870370370370371	0.8415300546448088	0.782258064516129	0.8294573643410853	0.7777777777777778	0.8	0.8267716535433071	0.8018867924528302	0.7634408602150538	0.7572815533980582	0.7766990291262136	0.8394160583941606	0.7582417582417582	0.7333333333333333
ERR1843001	0.7037037037037037	0.7362637362637363	0.8012820512820513	0.7741935483870968	0.0	0.7286821705426356	0.6972477064220184	0.7909090909090909	0.6744186046511628	0.7422680412371134	0.8029197080291971	0.7452830188679245	0.7	0.5212765957446809	0.8421052631578947	0.6967213114754098	0.8045112781954887	0.7567567567567568	0.7551020408163265	0.7923076923076923	0.7837837837837838	0.7821782178217822	0.7169811320754716	0.7592592592592593	0.8402777777777778	0.79	0.7676767676767676
ERR1843002	0.7448275862068966	0.7734375	0.7348066298342542	0.7906976744186046	0.7286821705426356	0.0	0.656934306569343	0.7410071942446043	0.752	0.7761194029850746	0.788235294117647	0.7037037037037037	0.6967213114754098	0.7517241379310344	0.6767676767676768	0.6510067114093959	0.7592592592592593	0.7444444444444445	0.8531468531468531	0.7716049382716049	0.7959183673469388	0.8461538461538461	0.7972972972972973	0.8187919463087249	0.8192090395480226	0.8102189781021898	0.7669172932330827
ERR1843003	0.7596899224806202	0.7614678899082569	0.7751479289940828	0.7592592592592593	0.6972477064220184	0.656934306569343	0.0	0.7661290322580645	0.7592592592592593	0.7652173913043478	0.7397260273972602	0.7459016393442623	0.6826923076923077	0.6859504132231405	0.7564766839378239	0.5905511811023622	0.773972602739726	0.7169811320754716	0.7966101694915254	0.7793103448275862	0.7795275590551181	0.7777777777777778	0.78125	0.8062015503875969	0.7191780821917808	0.8050847457627118	0.8067226890756303
ERR1843004	0.7520661157024794	0.7884615384615384	0.8072289156626506	0.75	0.7909090909090909	0.7410071942446043	0.7661290322580645	0.0	0.711340206185567	0.7909090909090909	0.8013698630136986	0.7586206896551724	0.6804123711340206	0.8	0.7777777777777778	0.7313432835820896	0.6821705426356589	0.7419354838709677	0.8125	0.7913669064748201	0.7933884297520661	0.8035714285714286	0.7851239669421488	0.7711864406779662	0.8441558441558441	0.7184466019417476	0.8230088495575221
ERR1843005	0.7777777777777778	0.7558139534883721	0.8451612903225807	0.7529411764705882	0.6744186046511628	0.752	0.7592592592592593	0.711340206185567	0.0	0.8367346938775511	0.8529411764705882	0.8095238095238095	0.7176470588235294	0.7156862745098039	0.8415300546448088	0.7310924369747899	0.8015873015873016	0.7338129496402878	0.8125	0.8359375	0.8240740740740741	0.85	0.8148148148148148	0.7884615384615384	0.8958333333333334	0.7717391304347826	0.8247422680412371
ERR1843006	0.6666666666666666	0.7634408602150538	0.7777777777777778	0.8247422680412371	0.7422680412371134	0.7761194029850746	0.7652173913043478	0.7909090909090909	0.8367346938775511	0.0	0.7761194029850746	0.7452830188679245	0.7553191489361702	0.7913043478260869	0.8235294117647058	0.7954545454545454	0.8045112781954887	0.8051948051948052	0.7920792079207921	0.7829457364341085	0.7837837837837838	0.839622641509434	0.8376068376068376	0.7927927927927928	0.8402777777777778	0.79	0.78
ERR1843007	0.7947019867549668	0.680672268907563	0.7486338797814208	0.8444444444444444	0.8029197080291971	0.788235294117647	0.7397260273972602	0.8013698630136986	0.8529411764705882	0.7761194029850746	0.0	0.7588652482269503	0.8134328358208955	0.8013245033112583	0.7813953488372093	0.7891566265060241	0.838150289017341	0.8229166666666666	0.8531468531468531	0.7077922077922078	0.7959183673469388	0.8775510204081632	0.8662420382165605	0.8571428571428571	0.8258426966292135	0.8357142857142857	0.8285714285714286
ERR1843008	0.7723577235772358	0.7524752475247525	0.6438356164383562	0.7864077669902912	0.7452830188679245	0.7037037037037037	0.7459016393442623	0.7586206896551724	0.8095238095238095	0.7452830188679245	0.7588652482269503	0.0	0.6666666666666666	0.7804878048780488	0.7842105263157895	0.7313432835820896	0.7943262411347518	0.7658227848101266	0.8230088495575221	0.7272727272727273	0.7079646017699115	0.8448275862068966	0.7950819672131147	0.8211382113821138	0.8516129032258064	0.831858407079646	0.8018018018018018
ERR1843009	0.7727272727272727	0.7777777777777778	0.7866666666666666	0.6707317073170732	0.7	0.6967213114754098	0.6826923076923077	0.6804123711340206	0.7176470588235294	0.7553191489361702	0.8134328358208955	0.6666666666666666	0.0	0.7358490566037735	0.7988826815642458	0.6724137931034483	0.768	0.7214285714285714	0.7938144329896907	0.8125	0.7735849056603774	0.7708333333333334	0.7403846153846154	0.7714285714285715	0.8088235294117647	0.7659574468085106	0.78125
ERR1843010	0.744	0.7777777777777778	0.813953488372093	0.7870370370370371	0.5212765957446809	0.7517241379310344	0.6859504132231405	0.8	0.7156862745098039	0.7913043478260869	0.8013245033112583	0.7804878048780488	0.7358490566037735	0.0	0.8208955223880597	0.7428571428571429	0.8266666666666667	0.774390243902439	0.7807017543859649	0.8082191780821918	0.7936507936507936	0.8333333333333334	0.7459016393442623	0.782258064516129	0.8354430379746836	0.8	0.8017241379310345
ERR1843011	0.8159203980099502	0.8296703296703297	0.7923728813559322	0.8415300546448088	0.8421052631578947	0.6767676767676768	0.7564766839378239	0.7777777777777778	0.8415300546448088	0.8235294117647058	0.7813953488372093	0.7842105263157895	0.7988826815642458	0.8208955223880597	0.0	0.7339901477832512	0.7819905213270142	0.7577092511013216	0.8775510204081632	0.7914691943127962	0.8051282051282052	0.8549222797927462	0.8640776699029126	0.8571428571428571	0.8377192982456141	0.8711340206185567	0.8108108108108109
ERR1843012	0.7535211267605634	0.784	0.7891891891891892	0.782258064516129	0.6967213114754098	0.6510067114093959	0.5905511811023622	0.7313432835820896	0.7310924369747899	0.7954545454545454	0.7891566265060241	0.7313432835820896	0.6724137931034483	0.7428571428571429	0.7339901477832512	0.0	0.7272727272727273	0.7225433526011561	0.8478260869565217	0.7950310559006211	0.821917808219178	0.7969924812030075	0.7730496453900709	0.8287671232876712	0.7784431137724551	0.8296296296296296	0.8045112781954887
